TPXC30 Index,,,7203 JT Equity,,,7267 JT Equity,,,6758 JT Equity,,,7201 JT Equity,,,6752 JT Equity,,,6902 JT Equity,,,9984 JT Equity,,,9432 JT Equity,,,9433 JT Equity,,,9437 JT Equity,,,8306 JT Equity,,,8316 JT Equity,,,8411 JT Equity,,,8766 JT Equity,,,8604 JT Equity,,,6954 JT Equity,,,9020 JT Equity,,,8058 JT Equity,,,9022 JT Equity,,,8031 JT Equity,,,2914 JT Equity,,,3382 JT Equity,,,7751 JT Equity,,,6981 JT Equity,,,6501 JT Equity,,,4502 JT Equity,,,4503 JT Equity,,,8802 JT Equity,,,8801 JT Equity,,,4063 JT Equity,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
2013/1/21,485.7,,2013/1/21,4280,,2013/1/21,3420,,2013/1/21,1187,,2013/1/21,865,,2013/1/21,607,,2013/1/21,3290,,2013/1/21,2968,,2013/1/21,1900,,2013/1/21,1033.3,,2013/1/21,1321,,2013/1/21,473,,2013/1/21,3300,,2013/1/21,170,,2013/1/21,2656,,2013/1/21,484,,2013/1/21,14350,,2013/1/21,5950,,2013/1/21,1825,,2013/1/21,7460,,2013/1/21,1335,,2013/1/21,2677,,2013/1/21,2683,,2013/1/21,3330,,2013/1/21,5390,,2013/1/21,541,,2013/1/21,4435,,2013/1/21,891,,2013/1/21,2100,,2013/1/21,1981,,2013/1/21,5490
2013/1/22,482.84,,2013/1/22,4240,,2013/1/22,3340,,2013/1/22,1192,,2013/1/22,866,,2013/1/22,594,,2013/1/22,3275,,2013/1/22,2961,,2013/1/22,1872.5,,2013/1/22,1023.3,,2013/1/22,1313,,2013/1/22,472,,2013/1/22,3255,,2013/1/22,169,,2013/1/22,2633,,2013/1/22,489,,2013/1/22,14200,,2013/1/22,5990,,2013/1/22,1837,,2013/1/22,7490,,2013/1/22,1337,,2013/1/22,2666,,2013/1/22,2661,,2013/1/22,3275,,2013/1/22,5350,,2013/1/22,540,,2013/1/22,4445,,2013/1/22,889,,2013/1/22,2135,,2013/1/22,2005,,2013/1/22,5450
2013/1/23,475.63,,2013/1/23,4155,,2013/1/23,3285,,2013/1/23,1167,,2013/1/23,842,,2013/1/23,581,,2013/1/23,3190,,2013/1/23,2945,,2013/1/23,1867.5,,2013/1/23,1018.3,,2013/1/23,1317,,2013/1/23,464,,2013/1/23,3200,,2013/1/23,167,,2013/1/23,2566,,2013/1/23,467,,2013/1/23,13950,,2013/1/23,5970,,2013/1/23,1824,,2013/1/23,7450,,2013/1/23,1320,,2013/1/23,2668,,2013/1/23,2624,,2013/1/23,3275,,2013/1/23,5230,,2013/1/23,524,,2013/1/23,4365,,2013/1/23,885,,2013/1/23,2095,,2013/1/23,1992,,2013/1/23,5300
2013/1/24,481.8,,2013/1/24,4245,,2013/1/24,3350,,2013/1/24,1189,,2013/1/24,852,,2013/1/24,588,,2013/1/24,3255,,2013/1/24,2953,,2013/1/24,1862.5,,2013/1/24,1040,,2013/1/24,1304,,2013/1/24,473,,2013/1/24,3265,,2013/1/24,168,,2013/1/24,2628,,2013/1/24,488,,2013/1/24,13900,,2013/1/24,5980,,2013/1/24,1857,,2013/1/24,7540,,2013/1/24,1321,,2013/1/24,2659,,2013/1/24,2605,,2013/1/24,3300,,2013/1/24,5400,,2013/1/24,532,,2013/1/24,4455,,2013/1/24,890,,2013/1/24,2097,,2013/1/24,2040,,2013/1/24,5330
2013/1/25,493.73,,2013/1/25,4340,,2013/1/25,3420,,2013/1/25,1290,,2013/1/25,874,,2013/1/25,604,,2013/1/25,3365,,2013/1/25,3025,,2013/1/25,1872.5,,2013/1/25,1080,,2013/1/25,1318,,2013/1/25,479,,2013/1/25,3300,,2013/1/25,171,,2013/1/25,2669,,2013/1/25,490,,2013/1/25,14570,,2013/1/25,6110,,2013/1/25,1913,,2013/1/25,7640,,2013/1/25,1365,,2013/1/25,2790,,2013/1/25,2710,,2013/1/25,3350,,2013/1/25,5460,,2013/1/25,561,,2013/1/25,4550,,2013/1/25,920,,2013/1/25,2100,,2013/1/25,2072,,2013/1/25,5630
2013/1/28,492.2,,2013/1/28,4315,,2013/1/28,3400,,2013/1/28,1407,,2013/1/28,895,,2013/1/28,609,,2013/1/28,3285,,2013/1/28,3040,,2013/1/28,1870,,2013/1/28,1058.3,,2013/1/28,1326,,2013/1/28,479,,2013/1/28,3305,,2013/1/28,170,,2013/1/28,2666,,2013/1/28,494,,2013/1/28,13550,,2013/1/28,6110,,2013/1/28,1918,,2013/1/28,7650,,2013/1/28,1328,,2013/1/28,2757,,2013/1/28,2794,,2013/1/28,3330,,2013/1/28,5370,,2013/1/28,552,,2013/1/28,4615,,2013/1/28,911,,2013/1/28,2123,,2013/1/28,2042,,2013/1/28,5480
2013/1/29,498.12,,2013/1/29,4325,,2013/1/29,3430,,2013/1/29,1385,,2013/1/29,934,,2013/1/29,608,,2013/1/29,3300,,2013/1/29,3065,,2013/1/29,1870,,2013/1/29,1088.3,,2013/1/29,1336,,2013/1/29,497,,2013/1/29,3450,,2013/1/29,175,,2013/1/29,2670,,2013/1/29,502,,2013/1/29,13930,,2013/1/29,6150,,2013/1/29,1909,,2013/1/29,7600,,2013/1/29,1348,,2013/1/29,2820,,2013/1/29,2758,,2013/1/29,3290,,2013/1/29,5410,,2013/1/29,547,,2013/1/29,4630,,2013/1/29,918,,2013/1/29,2123,,2013/1/29,2028,,2013/1/29,5460
2013/1/30,505.72,,2013/1/30,4365,,2013/1/30,3475,,2013/1/30,1383,,2013/1/30,932,,2013/1/30,605,,2013/1/30,3365,,2013/1/30,3175,,2013/1/30,1885,,2013/1/30,1121.7,,2013/1/30,1349,,2013/1/30,503,,2013/1/30,3490,,2013/1/30,178,,2013/1/30,2714,,2013/1/30,515,,2013/1/30,14360,,2013/1/30,6200,,2013/1/30,1919,,2013/1/30,8100,,2013/1/30,1366,,2013/1/30,2890,,2013/1/30,2784,,2013/1/30,3385,,2013/1/30,5530,,2013/1/30,546,,2013/1/30,4695,,2013/1/30,940,,2013/1/30,2198,,2013/1/30,2096,,2013/1/30,5670
2013/1/31,511.05,,2013/1/31,4365,,2013/1/31,3505,,2013/1/31,1362,,2013/1/31,936,,2013/1/31,598,,2013/1/31,3420,,2013/1/31,3260,,2013/1/31,1915,,2013/1/31,1133.3,,2013/1/31,1389,,2013/1/31,521,,2013/1/31,3670,,2013/1/31,183,,2013/1/31,2703,,2013/1/31,526,,2013/1/31,14250,,2013/1/31,6180,,2013/1/31,1928,,2013/1/31,8000,,2013/1/31,1381,,2013/1/31,2847,,2013/1/31,2782,,2013/1/31,3365,,2013/1/31,5600,,2013/1/31,542,,2013/1/31,4700,,2013/1/31,931,,2013/1/31,2214,,2013/1/31,2089,,2013/1/31,5590
2013/2/1,512.8,,2013/2/1,4495,,2013/2/1,3515,,2013/2/1,1355,,2013/2/1,935,,2013/2/1,592,,2013/2/1,3500,,2013/2/1,3445,,2013/2/1,1932.5,,2013/2/1,1138.3,,2013/2/1,1368,,2013/2/1,515,,2013/2/1,3655,,2013/2/1,184,,2013/2/1,2664,,2013/2/1,512,,2013/2/1,14170,,2013/2/1,6260,,2013/2/1,1890,,2013/2/1,8010,,2013/2/1,1374,,2013/2/1,2961,,2013/2/1,2842,,2013/2/1,3320,,2013/2/1,5590,,2013/2/1,545,,2013/2/1,4680,,2013/2/1,940,,2013/2/1,2171,,2013/2/1,2090,,2013/2/1,5560
2013/2/4,524,,2013/2/4,4595,,2013/2/4,3550,,2013/2/4,1457,,2013/2/4,975,,2013/2/4,692,,2013/2/4,3580,,2013/2/4,3455,,2013/2/4,1962.5,,2013/2/4,1136.7,,2013/2/4,1371,,2013/2/4,530,,2013/2/4,3860,,2013/2/4,193,,2013/2/4,2790,,2013/2/4,523,,2013/2/4,14330,,2013/2/4,6270,,2013/2/4,1922,,2013/2/4,8020,,2013/2/4,1389,,2013/2/4,2975,,2013/2/4,2814,,2013/2/4,3315,,2013/2/4,5760,,2013/2/4,567,,2013/2/4,4675,,2013/2/4,938,,2013/2/4,2184,,2013/2/4,2093,,2013/2/4,5510
2013/2/5,514.92,,2013/2/5,4540,,2013/2/5,3465,,2013/2/5,1447,,2013/2/5,955,,2013/2/5,719,,2013/2/5,3515,,2013/2/5,3380,,2013/2/5,1945,,2013/2/5,1120,,2013/2/5,1366,,2013/2/5,520,,2013/2/5,3760,,2013/2/5,192,,2013/2/5,2630,,2013/2/5,514,,2013/2/5,14250,,2013/2/5,6150,,2013/2/5,1917,,2013/2/5,7880,,2013/2/5,1359,,2013/2/5,2970,,2013/2/5,2800,,2013/2/5,3320,,2013/2/5,5770,,2013/2/5,531,,2013/2/5,4550,,2013/2/5,920,,2013/2/5,2050,,2013/2/5,1959,,2013/2/5,5450
2013/2/6,532.58,,2013/2/6,4815,,2013/2/6,3580,,2013/2/6,1481,,2013/2/6,996,,2013/2/6,739,,2013/2/6,3720,,2013/2/6,3515,,2013/2/6,1955,,2013/2/6,1160,,2013/2/6,1369,,2013/2/6,533,,2013/2/6,3830,,2013/2/6,202,,2013/2/6,2757,,2013/2/6,517,,2013/2/6,14610,,2013/2/6,6290,,2013/2/6,1966,,2013/2/6,8010,,2013/2/6,1397,,2013/2/6,3090,,2013/2/6,2819,,2013/2/6,3415,,2013/2/6,6070,,2013/2/6,538,,2013/2/6,4715,,2013/2/6,957,,2013/2/6,2157,,2013/2/6,2034,,2013/2/6,5660
2013/2/7,532.98,,2013/2/7,4815,,2013/2/7,3580,,2013/2/7,1519,,2013/2/7,993,,2013/2/7,757,,2013/2/7,3700,,2013/2/7,3465,,2013/2/7,2025,,2013/2/7,1140,,2013/2/7,1369,,2013/2/7,538,,2013/2/7,3790,,2013/2/7,209,,2013/2/7,2713,,2013/2/7,531,,2013/2/7,14790,,2013/2/7,6440,,2013/2/7,1953,,2013/2/7,8250,,2013/2/7,1406,,2013/2/7,3000,,2013/2/7,2817,,2013/2/7,3310,,2013/2/7,6060,,2013/2/7,537,,2013/2/7,4700,,2013/2/7,950,,2013/2/7,2143,,2013/2/7,2095,,2013/2/7,5590
2013/2/8,526.71,,2013/2/8,4895,,2013/2/8,3530,,2013/2/8,1365,,2013/2/8,987,,2013/2/8,716,,2013/2/8,3615,,2013/2/8,3385,,2013/2/8,2065,,2013/2/8,1113.3,,2013/2/8,1369,,2013/2/8,531,,2013/2/8,3745,,2013/2/8,207,,2013/2/8,2661,,2013/2/8,529,,2013/2/8,14750,,2013/2/8,6390,,2013/2/8,1915,,2013/2/8,8290,,2013/2/8,1389,,2013/2/8,2940,,2013/2/8,2753,,2013/2/8,3235,,2013/2/8,5970,,2013/2/8,525,,2013/2/8,4625,,2013/2/8,937,,2013/2/8,2112,,2013/2/8,2106,,2013/2/8,5480
