NKY Index,
Date,PX_LAST
2017-4-12,18552.61
2017-4-13,18426.84
2017-4-14,18335.63
2017-4-17,18355.26
2017-4-18,18418.59
2017-4-19,18432.2
2017-4-20,18430.49
2017-4-21,18620.75
2017-4-24,18875.88
2017-4-25,19079.33
2017-4-26,19289.43
2017-4-27,19251.87
2017-4-28,19196.74
2017-5-1,19310.52
2017-5-2,19445.7
2017-5-8,19895.7
2017-5-9,19843
2017-5-10,19900.09
2017-5-11,19961.55
2017-5-12,19883.9
2017-5-15,19869.85
2017-5-16,19919.82
2017-5-17,19814.88
2017-5-18,19553.86
2017-5-19,19590.76
2017-5-22,19678.28
2017-5-23,19613.28
2017-5-24,19704.88
